SystemLoad,NetLoad,OnlyV2G,V1G,V2G,UncontrolledCharging
337.881736362451,337.881736362451,453.999943992516,390.427713167204,397.300670414673,375.228462010936
332.526617285911,332.526617285911,448.468230095524,380.675209895528,395.843234343948,370.952859633846
332.306402050729,306.851472360552,447.328164600046,374.802007611699,394.417546401361,346.000380899388
340.979582914164,285.789507559754,440.518571931771,353.402599450204,388.838709260735,325.210947073025
355.864378393864,261.987061479895,433.79454135583,317.675474877866,377.981575450129,302.580840746704
372.385012724221,238.96845215093,433.670353092767,309.450695506965,370.801243022531,280.057251799155
385.815638909542,230.056393243878,434.827402374431,296.404442956629,371.174878456992,273.723467640738
392.747766631407,220.343631058045,435.073438554445,290.51098072235,372.371288085541,264.759310626621
394.525627044873,232.844212080819,434.960967991615,306.362532494387,371.760730807314,277.605166464336
393.591909872456,294.68399490776,434.307976249908,373.952220952725,389.334515122594,340.02584937468
392.29245010407,332.133472526124,434.526717759214,395.342140049509,392.330466706314,379.886195664786
392.463080572788,301.408658321329,434.291200399176,365.434251989207,376.783350354564,349.555757819916
393.935186717576,333.636475278145,434.975615771037,395.404179064947,384.703791660899,379.995692259523
396.038503304209,299.858660250516,433.482178857461,358.578346050566,370.104803558647,346.225220607565
398.123784883574,325.254611702746,433.363064457196,387.026448209831,353.673084090917,371.879440348254
399.71088614671,466.142605140915,430.99048212822,504.633657646332,429.486950521112,511.928953002149
400.968301461187,577.611111035694,432.724266376281,602.849782571199,543.287363208333,623.308760534638
402.157245989852,446.852694928345,432.31061881229,467.943124332095,428.223543774966,491.491992283789
403.249598126679,513.710527323648,433.903631944995,541.196753634656,501.398322357651,558.573902910471
404.104516151852,500.61868407939,433.49783644796,556.355727963773,518.553428458411,544.728047268789
404.416324985285,519.649095495344,432.435148766071,567.756323286455,536.742380509454,563.960043466578
403.884270873118,391.445059421545,434.191993668627,484.179407101249,458.999699733267,432.779622900878
402.415470611981,418.440219123066,433.168834058101,546.83729388084,541.538965781228,460.387285371577
400.188944627155,299.63574086501,433.37242004703,459.860523370615,458.552074824103,341.910477346081
398.224889078581,262.085966200271,436.645120270458,462.845505002769,462.9017448069,306.326899303872
397.522080942059,322.502344558423,441.479130531805,484.17107766078,527.962572738954,367.21087854251
398.229640999762,311.295710311299,438.857180710615,497.536225690887,516.841522416525,356.325188910849
400.189546793257,210.376568846357,439.547367097394,458.91804856851,446.930510491993,255.438832490714
402.851097313982,325.161984569601,444.26625340634,493.81528540234,509.690712271188,369.8870429122
405.463863541265,363.781672758132,443.83082143836,523.700415525896,549.6268690959,411.462657014925
406.82196257939,329.161999136815,442.093154851571,496.284055720936,480.586876279178,377.371439982065
406.048567828703,445.876457070075,444.393600283269,557.448159745226,553.701921740556,495.222984627345
404.051836320738,489.743231453203,440.989869806264,578.780867862612,565.358703206094,540.158604167835
402.086515226302,483.228144750881,435.162186601125,553.106674986097,530.510013748764,533.042944603326
401.028683969061,435.431268972577,437.726856328215,489.164272708868,480.789221236892,486.825222496845
