SystemLoad,NetLoad,OnlyV2G,V1G,V2G,UncontrolledCharging
458.26877055676,458.26877055676,467.9565143809,458.26877055676,378.334150413419,551.051777719003
453.406764199983,453.406764199983,471.510653580364,453.406764199983,392.394049995125,547.254921856736
448.496159938336,448.496159938336,473.131238405368,448.496159938336,366.317672666247,537.898274187549
444.439562829775,444.439562829775,497.282024612041,444.439562829775,387.980011135889,531.634418025817
441.688079018087,441.688079018087,506.801619186757,441.688079018087,394.509351358972,530.068510962297
439.47419693144,439.47419693144,514.104271559659,439.47419693144,370.10615036182,523.285785195276
436.747844827783,436.747844827783,514.249078835818,436.747844827783,386.641902635918,518.744731124638
432.463138341555,432.463138341555,531.670976690756,432.463138341555,390.730759096123,512.003233901676
425.851783927731,425.851783927731,484.532479678996,425.851783927731,421.803725532059,502.987191459716
417.190525916199,417.190525916199,497.610837424944,417.190525916199,385.144044000599,463.564651726423
