Time,SystemLoad,NetLoad,Uncontrolled,V1G,OnlyV2G,V2G
10,11628.0829703806,6732.35197254008,7303.53006195185,7001.69488293286,10990.1026755299,8392.90982292706
10.25,11632.7456110114,6391.87452625201,6955.96903984227,6759.62048116743,10990.1026755299,8384.81238633309
10.5,11637.3529123856,6031.53186595169,6592.04139909571,6471.73518824533,10990.1026755299,8176.920384498
10.75,11639.5449176503,5662.7908280198,6218.72195240114,6443.81125221793,10990.1026755299,8155.31640257754
11,11639.5175874151,5220.97213061301,5770.03564185034,6358.20045775301,10990.1026755299,8076.02556221956
11.25,11638.9305882991,4681.7739300848,5222.50128197121,6111.61569152259,10990.1026755299,7829.44079598915
11.5,11634.7079906944,4140.31217234458,4671.70993656365,6155.30067948018,10990.1026755299,7672.51174275215
11.75,11619.3104406,3630.84442241724,4153.99241235639,5976.79599674676,10990.1026755299,7279.74982120025
12,11588.0622105405,3217.6315513421,3731.32037600741,5696.94385608148,10990.1026755299,6830.25522030766
12.25,11540.9390783196,3032.0156727924,3536.89322021633,5776.4228863038,10990.1026755299,6600.58295555107
12.5,11482.454093207,3021.10386934103,3519.67530658241,5809.40699679205,10990.1026755299,6592.26270422951
12.75,11421.8106404361,3104.67784770778,3602.42862677471,5463.88263162712,10990.1026755299,6697.86487569971
13,11373.3254715837,3410.36000080458,3912.68918863419,5931.84573944558,10990.1026755299,7038.53298254905
13.25,11352.4279415999,3894.94552401307,4406.12918161956,6206.09910496251,10990.1026755299,7385.06834522825
13.5,11360.1933970227,4494.6140302054,5014.56577251777,5975.85345566056,10990.1026755299,7693.67856012711
13.75,11383.9924397199,5088.87789365748,5617.85687588872,6232.24855487063,10990.1026755299,7950.07365933719
14,11414.6511093355,5408.08434026313,5945.1403266323,6340.4223346933,10990.1026755299,8058.24743915986
14.25,11447.8387540948,5490.33467147423,6031.75310392859,6384.6915614835,10990.1026755299,8102.51666595005
14.5,11472.408704659,5541.24677976963,6090.74221636192,6563.68754923158,10990.1026755299,8281.51265369814
14.75,11472.5101073208,5653.27398293335,6208.81637449522,6682.57581479318,10990.1026755299,8400.40091925973
15,11448.0224206172,5861.29853757875,6420.29633198038,6447.7477081462,10990.1026755299,8159.25285850581
15.25,11414.8248667611,6221.65640819059,6783.677680077,6754.66410266113,10990.1026755299,8466.16925302074
15.5,11385.5356145647,6646.22350296431,7207.72646442476,7100.95912227525,10990.1026755299,8473.56110638539
15.75,11365.0858227672,7088.63185427622,7647.32730092937,7259.99228184829,10990.1026755299,8392.29734668002
16,11351.8877259109,7499.2644621005,8060.81061609645,7617.1381332155,10990.1026755299,8562.05677462653
16.25,11339.6310787541,7843.85930348508,8412.05710794755,7897.49903350536,10990.1026755299,8664.95232046792
16.5,11323.6344318067,8202.95006959691,8779.91595876526,8246.97046202423,10990.1026755299,8875.24847833151
16.75,11301.6521465195,8589.21183965779,9178.22844622979,8599.10562982006,10990.1026755299,8779.3046427695
17,11270.9087933484,8980.2958795566,9582.35663184869,8980.2958795566,10990.1026755299,8874.75823382121
17.25,11228.208890611,9301.44410320847,9902.68419732611,9301.44410320847,10990.1026755299,8937.10117026437
17.5,11173.0054979327,9545.70915029846,10146.6468966676,9545.70915029846,10990.1026755299,9033.10436519759
17.75,11108.9550751008,9749.523637533,10372.8783098251,9749.523637533,10990.1026755299,9121.78522801161
18,11046.8121924668,9935.49945449072,10583.9489899065,9935.49945449072,10990.1026755299,9119.86110536702
18.25,11002.9433145224,10138.5314286748,10813.9331062407,10138.5314286748,10990.1026755299,9204.95831552606
18.5,10990.314965055,10365.3480254455,11076.1243895834,10365.3480254455,10990.1026755299,9257.29549680607
18.75,11014.2972622938,10613.6821981062,11355.2548400535,10613.6821981062,10990.1026755299,9273.18446035156
19,11065.9798945932,10854.0475878088,11631.2972640765,10854.0475878088,10990.1026755299,9285.04389564505
19.25,11124.2414343215,11038.4582641822,11860.4122146893,11038.4582641822,10990.1026755299,9311.7360879416
19.5,11170.0890547689,11146.9040351175,12013.5190673285,11146.9040351175,10990.1026755299,9350.77133282077
19.75,11191.8671890157,11188.7928446708,12095.1882020744,11188.7928446708,10990.1026755299,9370.60303133608
20,11191.0112749968,11190.9763489328,12134.9924047543,11190.9763489328,10990.1026755299,9373.64244961703
20.25,11179.5842395664,11179.5842395664,12154.9580761587,11179.5842395664,10990.1026755299,9373.67737568103
20.5,11165.8210225189,11165.8210225189,12167.1967654803,11165.8210225189,10990.1026755299,9373.67737568103
20.75,11151.3159185566,11151.3159185566,12165.4766520252,11151.3159185566,10990.1026755299,9373.67737568103
21,11133.8710826937,11133.8710826937,12146.0017669939,11133.8710826937,10990.1026755299,9373.67737568103
21.25,11107.7735774635,11107.7735774635,12122.8413541775,11107.7735774635,10990.1026755299,9373.67737568103
21.5,11061.9399572059,11061.9399572059,12068.412419356,11061.9399572059,10990.1026755299,9373.67737568103
21.75,10983.7466255552,10983.7466255552,11970.0481736283,10983.7466255552,10990.1026755299,9373.67737568103
22,10876.2380939128,10876.2380939128,11844.917087503,10876.2380939128,10990.1026755299,9373.67737568103
22.25,10757.4616087126,10757.4616087126,11700.0955033982,10757.4616087126,10990.1026755299,9373.67737568103
22.5,10640.759878225,10640.759878225,11555.9233203346,10640.759878225,10990.1026755299,9373.67737568103
22.75,10530.9395111934,10530.9395111934,11431.0287584145,10530.9395111934,10990.1026755299,9373.67737568103
23,10428.5431859986,10428.5431859986,11312.2192697308,10428.5431859986,10990.1026755299,9373.67737568102
23.25,10331.3505171917,10331.3505171917,11196.0650778408,10331.3505171917,10990.1026755299,9373.67737568102
23.5,10236.1232637495,10236.1232637495,11089.9533054534,10236.1232637495,10990.1026755299,9373.67737568102
23.75,10139.2077558852,10139.2077558852,10977.0997519906,10139.2077558852,10990.1026755299,9373.67737568102
24,10037.0775066022,10037.0775066022,10683.7561480627,10037.0775066022,10990.1026755299,9373.67737568102
