Time,SystemLoad,NetLoad,Uncontrolled,V1G,OnlyV2G,V2G
5,9035.0674385319,9035.0674385319,9489.75525970837,10384.1246592357,10990.1026755299,10597.5010238239
5.25,9073.42684936686,9073.42684936686,9517.35972920458,10384.1246592357,10990.1026755299,10597.5010238239
5.5,9150.6855798002,9150.6855798002,9582.61093476977,10384.1246592358,10990.1026755299,10597.5010238239
5.75,9269.24778607179,9269.24778607179,9689.98627434765,10384.1246592358,10990.1026755299,10597.5010238239
6,9417.54670583526,9417.54670583526,9823.38376936467,10384.1246592358,10990.1026755299,10597.5010238239
6.25,9573.27883782946,9573.27883782946,9975.8332686611,10384.1246592358,10990.1026755299,10597.5010238239
6.5,9712.88910682549,9712.88910682549,10120.4106792393,10384.1246592358,10990.1026755299,10597.5010238239
6.75,9817.33864781055,9817.33864781055,10227.1494246057,10384.1246592358,10990.1026755299,10597.5010238239
7,9892.54613954184,9892.54613954184,10311.4705413268,10384.1246592358,10990.1026755299,10597.5010238239
7.25,9971.59759719117,9971.59759719117,10402.0112134183,10384.1246592358,10990.1026755299,10597.5010238239
7.5,10097.9278973788,10073.5428033869,10516.8277951921,10384.1246592358,10990.1026755299,10597.5010238239
7.75,10311.0204268496,10234.1152577046,10694.8932263861,10384.1246592358,10990.1026755299,10597.5010238239
8,10607.267218618,10472.1250108104,10954.3264770984,10495.0797822197,10990.1026755299,10597.5010238239
8.25,10937.4403851655,10753.5913197235,11256.611588121,10753.5913197235,10990.1026755299,10597.5010238239
8.5,11239.3701642204,10907.863951725,11428.1180417858,10907.863951725,10990.1026755299,10597.5010238239
8.75,11456.6318449816,10954.9414242174,11488.5852002823,10954.9414242174,10990.1026755299,10597.5010238239
9,11574.9922587352,10986.0691388119,11533.0162158099,10986.0691388119,10990.1026755299,10597.5010238239
9.25,11621.3742629563,10908.0980716573,11465.195394497,10908.0980716573,10990.1026755299,10597.5010238239
9.5,11628.997005968,10835.2435085037,11400.4178354814,10835.2435085037,10990.1026755299,10597.5010238239
9.75,11626.6038522225,10795.9324187592,11369.0973648039,10795.9324187592,10990.1026755299,10597.5010238239
10,11628.0829703806,10717.6263552442,11288.804444656,10717.6263552442,10990.1026755299,10597.5010238239
10.25,11632.7456110114,10643.9069841715,11208.0014977618,10643.9069841715,10990.1026755299,10597.5010238239
10.5,11637.3529123856,10611.9891786063,11172.4987117503,10611.9891786063,10990.1026755299,10597.5010238239
10.75,11639.5449176503,10532.9418672952,11088.8729916765,10532.9418672952,10990.1026755299,10597.5010238239
11,11639.5175874151,10448.6120889638,10997.6756002011,10448.6120889638,10990.1026755299,10597.5010238239
11.25,11638.9305882991,10380.1119653869,10920.8393172733,10413.0719182505,10990.1026755299,10597.5010238239
11.5,11634.7079906944,10215.8654845028,10747.2632487219,10384.1246592358,10990.1026755299,10597.5010238239
11.75,11619.3104406,10102.1553606625,10625.3033506016,10384.1246592358,10990.1026755299,10597.5010238239
12,11588.0622105405,10042.4022294781,10556.0910541434,10384.1246592358,10990.1026755299,10597.5010238239
12.25,11540.9390783196,9910.63567522806,10415.513222652,10384.1246592358,10990.1026755299,10597.5010238239
12.5,11482.454093207,9853.25981884663,10351.831256088,10384.1246592358,10990.1026755299,10597.5010238239
12.75,11421.8106404361,9946.76492037251,10444.5156994394,10384.1246592358,10990.1026755299,10597.5010238239
13,11373.3254715837,9833.86831722839,10336.197505058,10384.1246592358,10990.1026755299,10597.5010238239
13.25,11352.4279415999,9885.36757531061,10396.5512329171,10384.1246592358,10990.1026755299,10597.5010238239
13.5,11360.1933970227,10154.2444316126,10674.196173925,10384.1246592358,10990.1026755299,10597.5010238239
13.75,11383.9924397199,10251.0829444365,10780.0619266678,10384.1246592358,10990.1026755299,10597.5010238239
14,11414.6511093355,10323.6890552538,10860.745041623,10384.1246592358,10990.1026755299,10597.5010238239
14.25,11447.8387540948,10357.9914580739,10899.4098905283,10384.1246592358,10990.1026755299,10597.5010238239
14.5,11472.408704659,10347.0605179365,10896.5559545288,10384.1246592358,10990.1026755299,10597.5010238239
14.75,11472.5101073208,10345.5427426775,10901.0851342393,10384.1246592358,10990.1026755299,10597.5010238239
15,11448.0224206172,10431.2086146025,10990.2064090041,10435.0177455635,10990.1026755299,10597.5010238239
15.25,11414.8248667611,10418.1596723633,10980.1809442498,10435.0177455635,10990.1026755299,10597.5010238239
15.5,11385.5356145647,10492.6993721682,11054.2023336287,10509.5574453684,10990.1026755299,10597.5010238239
15.75,11365.0858227672,10598.7895577695,11157.4850044227,10598.7895577695,10990.1026755299,10597.5010238239
16,11351.8877259109,10644.6778043397,11206.2239583357,10644.6778043397,10990.1026755299,10597.5010238239
16.25,11339.6310787541,10691.4806787411,11259.6784832036,10691.4806787411,10990.1026755299,10597.5010238239
16.5,11323.6344318067,10713.8075795136,11290.7734686819,10713.8075795136,10990.1026755299,10597.5010238239
16.75,11301.6521465195,10809.0782921124,11398.0948986845,10809.0782921124,10990.1026755299,10597.5010238239
17,11270.9087933484,10854.2358231317,11456.2965754238,10854.2358231317,10990.1026755299,10597.5010238239
17.25,11228.208890611,10881.6534064282,11482.8935005459,10881.6534064282,10990.1026755299,10597.5010238239
17.5,11173.0054979327,10873.7675125488,11474.7052589179,10873.7675125488,10990.1026755299,10597.5010238239
17.75,11108.9550751008,10851.3877983803,11474.7424706723,10851.3877983803,10990.1026755299,10597.5010238239
18,11046.8121924668,10847.3944092896,11495.8439447054,10847.3944092896,10990.1026755299,10597.5010238239
18.25,11002.9433145224,10841.1542852916,11516.5559628575,10841.1542852916,10990.1026755299,10597.5010238239
18.5,10990.314965055,10872.0393695353,11582.8157336732,10872.0393695353,10990.1026755299,10597.5010238239
18.75,11014.2972622938,10944.5014137222,11686.0740556694,10944.5014137222,10990.1026755299,10597.5010238239
19,11065.9798945932,11037.3057488377,11814.5554251055,11037.3057488377,10990.1026755299,10597.5010238239
19.25,11124.2414343215,11118.6968105076,11940.6507610147,11118.6968105076,10990.1026755299,10597.5010238239
19.5,11170.0890547689,11170.0241764454,12036.6392086563,11170.0241764454,10990.1026755299,10597.5010238239
19.75,11191.8671890157,11191.8671890157,12098.2625464194,11191.8671890157,10990.1026755299,10597.5010238239
20,11191.0112749968,11191.0112749968,12135.0273308183,11191.0112749968,10990.1026755299,10597.5010238239
20.25,11179.5842395664,11179.5842395664,12154.9580761587,11179.5842395664,10990.1026755299,10597.5010238239
20.5,11165.8210225189,11165.8210225189,12167.1967654803,11165.8210225189,10990.1026755299,10597.5010238239
20.75,11151.3159185566,11151.3159185566,12165.4766520252,11151.3159185566,10990.1026755299,10597.5010238239
21,11133.8710826937,11133.8710826937,12146.0017669939,11133.8710826937,10990.1026755299,10597.5010238239
21.25,11107.7735774635,11107.7735774635,12122.8413541775,11107.7735774635,10990.1026755299,10597.5010238239
21.5,11061.9399572059,11061.9399572059,12068.412419356,11061.9399572059,10990.1026755299,10597.5010238239
21.75,10983.7466255552,10983.7466255552,11970.0481736283,10983.7466255552,10990.1026755299,10597.5010238239
22,10876.2380939128,10876.2380939128,11844.917087503,10876.2380939128,10990.1026755299,10597.5010238239
22.25,10757.4616087126,10757.4616087126,11700.0955033982,10757.4616087126,10990.1026755299,10597.5010238239
22.5,10640.759878225,10640.759878225,11555.9233203346,10640.759878225,10990.1026755299,10597.5010238239
22.75,10530.9395111934,10530.9395111934,11431.0287584145,10530.9395111934,10990.1026755299,10597.5010238239
23,10428.5431859986,10428.5431859986,11312.2192697308,10431.1043936889,10990.1026755299,10597.5010238239
23.25,10331.3505171917,10331.3505171917,11196.0650778408,10384.1246592358,10990.1026755299,10597.5010238239
23.5,10236.1232637495,10236.1232637495,11089.9533054534,10384.1246592358,10990.1026755299,10597.5010238239
23.75,10139.2077558852,10139.2077558852,10977.0997519906,10384.1246592358,10990.1026755299,10597.5010238239
24,10037.0775066022,10037.0775066022,10683.7561480627,10384.1246592358,10990.1026755299,10597.5010238239
